"V1","V2"
"Direct-Display-Direct-Display-Direct",72
"Direct-Display-Direct-Display-Social",42
"Direct-Display-Direct-Display",25
"Direct-Display-Direct-Display-Affiliate",11
"Direct-Display-Direct-Display-Paid Search",71
"Direct-Display-Direct-Display-Organic Search",23
"Direct-Display-Direct-Affiliate-Direct",9
"Direct-Display-Direct-Affiliate-Social",6
"Direct-Display-Direct-Affiliate-Display",7
"Direct-Display-Direct-Affiliate",54
"Direct-Display-Direct-Affiliate-Paid Search",22
"Direct-Display-Direct-Paid Search-Direct",124
"Direct-Display-Direct-Paid Search-Social",110
"Direct-Display-Direct-Paid Search-Display",60
"Direct-Display-Direct-Paid Search-Affiliate",8
"Direct-Display-Direct-Paid Search",191
"Direct-Display-Direct-Paid Search-Organic Search",25
"Direct-Display-Direct-Organic Search-Direct",23
"Direct-Display-Direct-Organic Search-Social",1
"Direct-Display-Direct-Organic Search-Display",2
"Direct-Display-Direct-Organic Search-Paid Search",29
"Direct-Display-Direct-Organic Search",11
"Direct-Display-Social",2878
"Direct-Display-Direct",167
"Direct-Display-Direct-Social",37
"Direct-Display-Direct-Display",43
"Direct-Display-Direct-Affiliate",30
"Direct-Display-Direct-Paid Search",45
"Direct-Display-Direct-Organic Search",14
"Direct-Display-Social",227
"Direct-Display-Direct",42
"Direct-Display-Social",30
"Direct-Display",82
"Direct-Display-Affiliate",26
"Direct-Display-Paid Search",62
"Direct-Display-Organic Search",21
"Direct-Display-Affiliate-Direct",29
"Direct-Display-Affiliate-Social",7
"Direct-Display-Affiliate-Display",15
"Direct-Display-Affiliate",61
"Direct-Display-Affiliate-Paid Search",22
"Direct-Display-Affiliate-Organic Search",2
"Direct-Display-Paid Search-Direct",83
"Direct-Display-Paid Search-Social",104
"Direct-Display-Paid Search-Display",90
"Direct-Display-Paid Search-Affiliate",14
"Direct-Display-Paid Search",208
"Direct-Display-Paid Search-Organic Search",24
"Direct-Display-Organic Search-Direct",46
"Direct-Display-Organic Search-Social",5
"Direct-Display-Organic Search-Display",6
"Direct-Display-Organic Search-Paid Search",92
"Direct-Display-Organic Search",34
"Direct-Display-Affiliate-Direct",51
"Direct-Display-Affiliate-Direct-Social",9
"Direct-Display-Affiliate-Direct-Display",7
"Direct-Display-Affiliate-Direct-Affiliate",7
"Direct-Display-Affiliate-Direct-Paid Search",24
"Direct-Display-Affiliate-Direct-Organic Search",3
"Direct-Display-Affiliate-Social",56
"Direct-Display-Affiliate-Display-Direct",12
"Direct-Display-Affiliate-Display-Social",22
"Direct-Display-Affiliate-Display",9
"Direct-Display-Affiliate-Display-Affiliate",3
"Direct-Display-Affiliate-Display-Paid Search",26
"Direct-Display-Affiliate-Display-Organic Search",8
"Direct-Display-Affiliate-Direct",34
"Direct-Display-Affiliate-Social",34
"Direct-Display-Affiliate-Display",34
"Direct-Display-Affiliate",104
"Direct-Display-Affiliate-Paid Search",56
"Direct-Display-Affiliate-Organic Search",4
"Direct-Display-Affiliate-Paid Search-Direct",16
"Direct-Display-Affiliate-Paid Search-Social",35
"Direct-Display-Affiliate-Paid Search-Display",17
"Direct-Display-Affiliate-Paid Search-Affiliate",11
"Direct-Display-Affiliate-Paid Search",59
"Direct-Display-Affiliate-Paid Search-Organic Search",3
"Direct-Display-Affiliate-Organic Search-Direct",6
"Direct-Display-Affiliate-Organic Search-Paid Search",6
"Direct-Display-Paid Search-Direct",409
"Direct-Display-Paid Search-Direct-Social",78
"Direct-Display-Paid Search-Direct-Display",103
"Direct-Display-Paid Search-Direct-Affiliate",26
"Direct-Display-Paid Search-Direct-Paid Search",276
"Direct-Display-Paid Search-Direct-Organic Search",30
"Direct-Display-Paid Search-Social",1277
"Direct-Display-Paid Search-Display-Direct",133
"Direct-Display-Paid Search-Display-Social",220
"Direct-Display-Paid Search-Display",93
"Direct-Display-Paid Search-Display-Affiliate",27
"Direct-Display-Paid Search-Display-Paid Search",579
"Direct-Display-Paid Search-Display-Organic Search",92
"Direct-Display-Paid Search-Affiliate-Direct",5
"Direct-Display-Paid Search-Affiliate-Social",4
"Direct-Display-Paid Search-Affiliate-Display",4
"Direct-Display-Paid Search-Affiliate",20
"Direct-Display-Paid Search-Affiliate-Paid Search",22
"Direct-Display-Paid Search-Affiliate-Organic Search",1
"Direct-Display-Paid Search-Direct",260
"Direct-Display-Paid Search-Social",534
"Direct-Display-Paid Search-Display",296
"Direct-Display-Paid Search-Affiliate",26
"Direct-Display-Paid Search",1113
"Direct-Display-Paid Search-Organic Search",97
"Direct-Display-Paid Search-Organic Search-Direct",46
"Direct-Display-Paid Search-Organic Search-Social",6
"Direct-Display-Paid Search-Organic Search-Display",5
"Direct-Display-Paid Search-Organic Search-Paid Search",149
"Direct-Display-Paid Search-Organic Search",43
"Direct-Display-Organic Search-Direct",201
"Direct-Display-Organic Search-Direct-Social",27
"Direct-Display-Organic Search-Direct-Display",25
"Direct-Display-Organic Search-Direct-Affiliate",6
"Direct-Display-Organic Search-Direct-Paid Search",72
"Direct-Display-Organic Search-Direct-Organic Search",20
"Direct-Display-Organic Search-Social",80
"Direct-Display-Organic Search-Display-Direct",7
"Direct-Display-Organic Search-Display-Social",5
"Direct-Display-Organic Search-Display",4
"Direct-Display-Organic Search-Display-Paid Search",8
"Direct-Display-Organic Search-Display-Organic Search",12
"Direct-Display-Organic Search-Affiliate-Social",2
"Direct-Display-Organic Search-Affiliate",3
"Direct-Display-Organic Search-Affiliate-Paid Search",2
"Direct-Display-Organic Search-Affiliate-Organic Search",1
"Direct-Display-Organic Search-Paid Search-Direct",79
"Direct-Display-Organic Search-Paid Search-Social",212
"Direct-Display-Organic Search-Paid Search-Display",68
"Direct-Display-Organic Search-Paid Search-Affiliate",7
"Direct-Display-Organic Search-Paid Search",478
"Direct-Display-Organic Search-Paid Search-Organic Search",156
"Direct-Display-Organic Search-Direct",40
"Direct-Display-Organic Search-Social",25
"Direct-Display-Organic Search-Display",5
"Direct-Display-Organic Search-Affiliate",1
"Direct-Display-Organic Search-Paid Search",170
"Direct-Display-Organic Search",88
"Direct-Affiliate-Direct",596
"Direct-Affiliate-Direct-Social",131
"Direct-Affiliate-Direct-Display",42
"Direct-Affiliate-Direct-Affiliate",124
"Direct-Affiliate-Direct-Paid Search",270
"Direct-Affiliate-Direct-Organic Search",34
"Direct-Affiliate-Direct-Social",246
"Direct-Affiliate-Direct-Display-Direct",15
"Direct-Affiliate-Direct-Display-Social",15
"Direct-Affiliate-Direct-Display",8
"Direct-Affiliate-Direct-Display-Affiliate",2
"Direct-Affiliate-Direct-Display-Paid Search",43
"Direct-Affiliate-Direct-Display-Organic Search",4
"Direct-Affiliate-Direct-Affiliate-Direct",98
"Direct-Affiliate-Direct-Affiliate-Social",31
"Direct-Affiliate-Direct-Affiliate-Display",6
"Direct-Affiliate-Direct-Affiliate",123
"Direct-Affiliate-Direct-Affiliate-Paid Search",85
"Direct-Affiliate-Direct-Affiliate-Organic Search",4
"Direct-Affiliate-Direct-Paid Search-Direct",160
"Direct-Affiliate-Direct-Paid Search-Social",78
"Direct-Affiliate-Direct-Paid Search-Display",24
"Direct-Affiliate-Direct-Paid Search-Affiliate",32
"Direct-Affiliate-Direct-Paid Search",157
"Direct-Affiliate-Direct-Paid Search-Organic Search",13
"Direct-Affiliate-Direct-Organic Search-Direct",18
"Direct-Affiliate-Direct-Organic Search-Social",1
"Direct-Affiliate-Direct-Organic Search-Paid Search",42
"Direct-Affiliate-Direct-Organic Search",10
"Direct-Affiliate-Social",1457
"Direct-Affiliate-Display-Direct",65
"Direct-Affiliate-Display-Direct-Social",4
"Direct-Affiliate-Display-Direct-Display",7
"Direct-Affiliate-Display-Direct-Affiliate",7
"Direct-Affiliate-Display-Direct-Paid Search",29
"Direct-Affiliate-Display-Direct-Organic Search",4
"Direct-Affiliate-Display-Social",137
"Direct-Affiliate-Display-Direct",8
"Direct-Affiliate-Display-Social",5
"Direct-Affiliate-Display",14
"Direct-Affiliate-Display-Affiliate",25
"Direct-Affiliate-Display-Paid Search",11
"Direct-Affiliate-Display-Organic Search",7
"Direct-Affiliate-Display-Affiliate-Direct",4
"Direct-Affiliate-Display-Affiliate-Social",2
"Direct-Affiliate-Display-Affiliate-Display",9
"Direct-Affiliate-Display-Affiliate",15
"Direct-Affiliate-Display-Affiliate-Paid Search",8
"Direct-Affiliate-Display-Paid Search-Direct",43
"Direct-Affiliate-Display-Paid Search-Social",40
"Direct-Affiliate-Display-Paid Search-Display",38
"Direct-Affiliate-Display-Paid Search-Affiliate",11
"Direct-Affiliate-Display-Paid Search",91
"Direct-Affiliate-Display-Paid Search-Organic Search",11
"Direct-Affiliate-Display-Organic Search-Direct",14
"Direct-Affiliate-Display-Organic Search-Affiliate",1
"Direct-Affiliate-Display-Organic Search-Paid Search",22
"Direct-Affiliate-Display-Organic Search",8
"Direct-Affiliate-Direct",330
"Direct-Affiliate-Direct-Social",128
"Direct-Affiliate-Direct-Display",46
"Direct-Affiliate-Direct-Affiliate",163
"Direct-Affiliate-Direct-Paid Search",102
"Direct-Affiliate-Direct-Organic Search",36
"Direct-Affiliate-Social",805
"Direct-Affiliate-Display-Direct",65
"Direct-Affiliate-Display-Social",55
"Direct-Affiliate-Display",43
"Direct-Affiliate-Display-Affiliate",24
"Direct-Affiliate-Display-Paid Search",83
"Direct-Affiliate-Display-Organic Search",14
"Direct-Affiliate-Direct",440
"Direct-Affiliate-Social",349
"Direct-Affiliate-Display",145
"Direct-Affiliate",871
"Direct-Affiliate-Paid Search",528
"Direct-Affiliate-Organic Search",49
"Direct-Affiliate-Paid Search-Direct",213
"Direct-Affiliate-Paid Search-Social",283
"Direct-Affiliate-Paid Search-Display",60
"Direct-Affiliate-Paid Search-Affiliate",222
"Direct-Affiliate-Paid Search",468
"Direct-Affiliate-Paid Search-Organic Search",36
"Direct-Affiliate-Organic Search-Direct",24
"Direct-Affiliate-Organic Search-Social",4
"Direct-Affiliate-Organic Search-Display",2
"Direct-Affiliate-Organic Search-Affiliate",4
"Direct-Affiliate-Organic Search-Paid Search",61
"Direct-Affiliate-Organic Search",23
"Direct-Affiliate-Paid Search-Direct",297
"Direct-Affiliate-Paid Search-Direct-Social",74
"Direct-Affiliate-Paid Search-Direct-Display",14
"Direct-Affiliate-Paid Search-Direct-Affiliate",71
"Direct-Affiliate-Paid Search-Direct-Paid Search",185
"Direct-Affiliate-Paid Search-Direct-Organic Search",16
"Direct-Affiliate-Paid Search-Social",1302
"Direct-Affiliate-Paid Search-Display-Direct",22
"Direct-Affiliate-Paid Search-Display-Social",33
"Direct-Affiliate-Paid Search-Display",8
"Direct-Affiliate-Paid Search-Display-Affiliate",13
"Direct-Affiliate-Paid Search-Display-Paid Search",68
"Direct-Affiliate-Paid Search-Display-Organic Search",23
"Direct-Affiliate-Paid Search-Affiliate-Direct",67
"Direct-Affiliate-Paid Search-Affiliate-Social",26
"Direct-Affiliate-Paid Search-Affiliate-Display",9
"Direct-Affiliate-Paid Search-Affiliate",88
"Direct-Affiliate-Paid Search-Affiliate-Paid Search",194
"Direct-Affiliate-Paid Search-Affiliate-Organic Search",9
"Direct-Affiliate-Paid Search-Direct",193
"Direct-Affiliate-Paid Search-Social",550
"Direct-Affiliate-Paid Search-Display",69
"Direct-Affiliate-Paid Search-Affiliate",93
"Direct-Affiliate-Paid Search",1369
"Direct-Affiliate-Paid Search-Organic Search",62
"Direct-Affiliate-Paid Search-Organic Search-Direct",27
"Direct-Affiliate-Paid Search-Organic Search-Social",5
"Direct-Affiliate-Paid Search-Organic Search-Affiliate",3
"Direct-Affiliate-Paid Search-Organic Search-Paid Search",90
"Direct-Affiliate-Paid Search-Organic Search",18
"Direct-Affiliate-Organic Search-Direct",44
"Direct-Affiliate-Organic Search-Direct-Social",6
"Direct-Affiliate-Organic Search-Direct-Display",1
"Direct-Affiliate-Organic Search-Direct-Affiliate",6
"Direct-Affiliate-Organic Search-Direct-Paid Search",22
"Direct-Affiliate-Organic Search-Direct-Organic Search",3
"Direct-Affiliate-Organic Search-Social",11
"Direct-Affiliate-Organic Search-Display",2
"Direct-Affiliate-Organic Search-Display-Paid Search",2
"Direct-Affiliate-Organic Search-Affiliate-Direct",3
"Direct-Affiliate-Organic Search-Affiliate",3
"Direct-Affiliate-Organic Search-Affiliate-Organic Search",1
"Direct-Affiliate-Organic Search-Paid Search-Direct",22
"Direct-Affiliate-Organic Search-Paid Search-Social",33
"Direct-Affiliate-Organic Search-Paid Search-Display",6
"Direct-Affiliate-Organic Search-Paid Search-Affiliate",6
"Direct-Affiliate-Organic Search-Paid Search",68
"Direct-Affiliate-Organic Search-Paid Search-Organic Search",30
"Direct-Affiliate-Organic Search-Direct",7
"Direct-Affiliate-Organic Search-Social",3
"Direct-Affiliate-Organic Search-Display",1
"Direct-Affiliate-Organic Search-Paid Search",33
"Direct-Affiliate-Organic Search",23
"Direct-Paid Search-Direct",4424
"Direct-Paid Search-Direct-Social",1104
"Direct-Paid Search-Direct-Display",297
"Direct-Paid Search-Direct-Affiliate",233
"Direct-Paid Search-Direct-Paid Search",5893
"Direct-Paid Search-Direct-Organic Search",265
"Direct-Paid Search-Direct-Social",2171
"Direct-Paid Search-Direct-Display-Direct",111
"Direct-Paid Search-Direct-Display-Social",94
"Direct-Paid Search-Direct-Display",60
"Direct-Paid Search-Direct-Display-Affiliate",19
"Direct-Paid Search-Direct-Display-Paid Search",210
"Direct-Paid Search-Direct-Display-Organic Search",65
"Direct-Paid Search-Direct-Affiliate-Direct",117
"Direct-Paid Search-Direct-Affiliate-Social",46
"Direct-Paid Search-Direct-Affiliate-Display",18
"Direct-Paid Search-Direct-Affiliate",199
"Direct-Paid Search-Direct-Affiliate-Paid Search",210
"Direct-Paid Search-Direct-Affiliate-Organic Search",6
"Direct-Paid Search-Direct-Paid Search-Direct",2683
"Direct-Paid Search-Direct-Paid Search-Social",1670
"Direct-Paid Search-Direct-Paid Search-Display",258
"Direct-Paid Search-Direct-Paid Search-Affiliate",99
"Direct-Paid Search-Direct-Paid Search",2543
"Direct-Paid Search-Direct-Paid Search-Organic Search",278
"Direct-Paid Search-Direct-Organic Search-Direct",179
"Direct-Paid Search-Direct-Organic Search-Social",16
"Direct-Paid Search-Direct-Organic Search-Display",1
"Direct-Paid Search-Direct-Organic Search-Affiliate",1
"Direct-Paid Search-Direct-Organic Search-Paid Search",215
"Direct-Paid Search-Direct-Organic Search",88
"Direct-Paid Search-Social",30250
"Direct-Paid Search-Display-Direct",378
"Direct-Paid Search-Display-Direct-Social",61
"Direct-Paid Search-Display-Direct-Display",49
"Direct-Paid Search-Display-Direct-Affiliate",32
"Direct-Paid Search-Display-Direct-Paid Search",175
"Direct-Paid Search-Display-Direct-Organic Search",18
"Direct-Paid Search-Display-Social",1195
"Direct-Paid Search-Display-Direct",87
"Direct-Paid Search-Display-Social",82
"Direct-Paid Search-Display",66
"Direct-Paid Search-Display-Affiliate",45
"Direct-Paid Search-Display-Paid Search",185
"Direct-Paid Search-Display-Organic Search",68
"Direct-Paid Search-Display-Affiliate-Direct",23
"Direct-Paid Search-Display-Affiliate-Social",12
"Direct-Paid Search-Display-Affiliate-Display",27
"Direct-Paid Search-Display-Affiliate",84
"Direct-Paid Search-Display-Affiliate-Paid Search",44
"Direct-Paid Search-Display-Affiliate-Organic Search",2
"Direct-Paid Search-Display-Paid Search-Direct",357
"Direct-Paid Search-Display-Paid Search-Social",472
"Direct-Paid Search-Display-Paid Search-Display",454
"Direct-Paid Search-Display-Paid Search-Affiliate",34
"Direct-Paid Search-Display-Paid Search",804
"Direct-Paid Search-Display-Paid Search-Organic Search",102
"Direct-Paid Search-Display-Organic Search-Direct",169
"Direct-Paid Search-Display-Organic Search-Social",32
"Direct-Paid Search-Display-Organic Search-Display",14
"Direct-Paid Search-Display-Organic Search-Affiliate",3
"Direct-Paid Search-Display-Organic Search-Paid Search",414
"Direct-Paid Search-Display-Organic Search",149
"Direct-Paid Search-Affiliate-Direct",158
"Direct-Paid Search-Affiliate-Direct-Social",36
"Direct-Paid Search-Affiliate-Direct-Display",13
"Direct-Paid Search-Affiliate-Direct-Affiliate",27
"Direct-Paid Search-Affiliate-Direct-Paid Search",74
"Direct-Paid Search-Affiliate-Direct-Organic Search",4
"Direct-Paid Search-Affiliate-Social",265
"Direct-Paid Search-Affiliate-Display-Direct",12
"Direct-Paid Search-Affiliate-Display-Social",10
"Direct-Paid Search-Affiliate-Display",7
"Direct-Paid Search-Affiliate-Display-Affiliate",6
"Direct-Paid Search-Affiliate-Display-Paid Search",35
"Direct-Paid Search-Affiliate-Display-Organic Search",5
"Direct-Paid Search-Affiliate-Direct",121
"Direct-Paid Search-Affiliate-Social",122
"Direct-Paid Search-Affiliate-Display",42
"Direct-Paid Search-Affiliate",286
"Direct-Paid Search-Affiliate-Paid Search",206
"Direct-Paid Search-Affiliate-Organic Search",23
"Direct-Paid Search-Affiliate-Paid Search-Direct",88
"Direct-Paid Search-Affiliate-Paid Search-Social",116
"Direct-Paid Search-Affiliate-Paid Search-Display",19
"Direct-Paid Search-Affiliate-Paid Search-Affiliate",53
"Direct-Paid Search-Affiliate-Paid Search",317
"Direct-Paid Search-Affiliate-Paid Search-Organic Search",20
"Direct-Paid Search-Affiliate-Organic Search-Direct",12
"Direct-Paid Search-Affiliate-Organic Search-Social",4
"Direct-Paid Search-Affiliate-Organic Search-Affiliate",1
"Direct-Paid Search-Affiliate-Organic Search-Paid Search",23
"Direct-Paid Search-Affiliate-Organic Search",8
"Direct-Paid Search-Direct",3417
"Direct-Paid Search-Direct-Social",594
"Direct-Paid Search-Direct-Display",122
"Direct-Paid Search-Direct-Affiliate",176
"Direct-Paid Search-Direct-Paid Search",1932
"Direct-Paid Search-Direct-Organic Search",150
"Direct-Paid Search-Social",10185
"Direct-Paid Search-Display-Direct",214
"Direct-Paid Search-Display-Social",326
"Direct-Paid Search-Display",170
"Direct-Paid Search-Display-Affiliate",48
"Direct-Paid Search-Display-Paid Search",809
"Direct-Paid Search-Display-Organic Search",291
"Direct-Paid Search-Affiliate-Direct",107
"Direct-Paid Search-Affiliate-Social",59
"Direct-Paid Search-Affiliate-Display",17
"Direct-Paid Search-Affiliate",203
"Direct-Paid Search-Affiliate-Paid Search",153
"Direct-Paid Search-Affiliate-Organic Search",18
"Direct-Paid Search-Direct",2583
"Direct-Paid Search-Social",4658
"Direct-Paid Search-Display",751
"Direct-Paid Search-Affiliate",237
"Direct-Paid Search",13769
"Direct-Paid Search-Organic Search",870
"Direct-Paid Search-Organic Search-Direct",375
"Direct-Paid Search-Organic Search-Social",52
"Direct-Paid Search-Organic Search-Display",16
"Direct-Paid Search-Organic Search-Affiliate",6
"Direct-Paid Search-Organic Search-Paid Search",1127
"Direct-Paid Search-Organic Search",285
"Direct-Paid Search-Organic Search-Direct",656
"Direct-Paid Search-Organic Search-Direct-Social",51
"Direct-Paid Search-Organic Search-Direct-Display",11
"Direct-Paid Search-Organic Search-Direct-Affiliate",19
"Direct-Paid Search-Organic Search-Direct-Paid Search",346
"Direct-Paid Search-Organic Search-Direct-Organic Search",55
"Direct-Paid Search-Organic Search-Social",159
"Direct-Paid Search-Organic Search-Display-Direct",3
"Direct-Paid Search-Organic Search-Display-Social",3
"Direct-Paid Search-Organic Search-Display",4
"Direct-Paid Search-Organic Search-Display-Affiliate",2
"Direct-Paid Search-Organic Search-Display-Paid Search",17
"Direct-Paid Search-Organic Search-Display-Organic Search",9
"Direct-Paid Search-Organic Search-Affiliate-Direct",1
"Direct-Paid Search-Organic Search-Affiliate-Social",1
"Direct-Paid Search-Organic Search-Affiliate-Display",2
"Direct-Paid Search-Organic Search-Affiliate",6
"Direct-Paid Search-Organic Search-Affiliate-Paid Search",3
"Direct-Paid Search-Organic Search-Paid Search-Direct",245
"Direct-Paid Search-Organic Search-Paid Search-Social",530
"Direct-Paid Search-Organic Search-Paid Search-Display",88
"Direct-Paid Search-Organic Search-Paid Search-Affiliate",26
"Direct-Paid Search-Organic Search-Paid Search",1249
"Direct-Paid Search-Organic Search-Paid Search-Organic Search",395
"Direct-Paid Search-Organic Search-Direct",89
"Direct-Paid Search-Organic Search-Social",37
"Direct-Paid Search-Organic Search-Display",8
"Direct-Paid Search-Organic Search-Affiliate",6
"Direct-Paid Search-Organic Search-Paid Search",378
"Direct-Paid Search-Organic Search",161
"Direct-Organic Search-Direct",578
"Direct-Organic Search-Direct-Social",145
"Direct-Organic Search-Direct-Display",49
"Direct-Organic Search-Direct-Affiliate",38
"Direct-Organic Search-Direct-Paid Search",731
"Direct-Organic Search-Direct-Organic Search",196
"Direct-Organic Search-Direct-Social",227
"Direct-Organic Search-Direct-Display-Direct",14
"Direct-Organic Search-Direct-Display-Social",8
"Direct-Organic Search-Direct-Display",3
"Direct-Organic Search-Direct-Display-Affiliate",3
"Direct-Organic Search-Direct-Display-Paid Search",10
"Direct-Organic Search-Direct-Display-Organic Search",12
"Direct-Organic Search-Direct-Affiliate-Direct",5
"Direct-Organic Search-Direct-Affiliate-Social",7
"Direct-Organic Search-Direct-Affiliate",13
"Direct-Organic Search-Direct-Affiliate-Paid Search",23
"Direct-Organic Search-Direct-Affiliate-Organic Search",2
"Direct-Organic Search-Direct-Paid Search-Direct",188
"Direct-Organic Search-Direct-Paid Search-Social",187
"Direct-Organic Search-Direct-Paid Search-Display",26
"Direct-Organic Search-Direct-Paid Search-Affiliate",8
"Direct-Organic Search-Direct-Paid Search",302
"Direct-Organic Search-Direct-Paid Search-Organic Search",91
"Direct-Organic Search-Direct-Organic Search-Direct",147
"Direct-Organic Search-Direct-Organic Search-Social",8
"Direct-Organic Search-Direct-Organic Search-Display",1
"Direct-Organic Search-Direct-Organic Search-Paid Search",63
"Direct-Organic Search-Direct-Organic Search",26
